,0
0,Abandoned Children
1,Ability Steal
2,Absent Parents
3,Abusive Characters
4,Academy
5,Accelerated Growth
6,Acting
7,Adapted from Manga
8,Adapted from Manhua
9,Adapted to Anime
10,Adapted to Drama
11,Adapted to Drama CD
12,Adapted to Game
13,Adapted to Manga
14,Adapted to Manhua
15,Adapted to Manhwa
16,Adapted to Movie
17,Adapted to Visual Novel
18,Adopted Children
19,Adopted Protagonist
20,Adultery
21,Adventurers
22,Affair
23,Age Progression
24,Age Regression
25,Aggressive Characters
26,Alchemy
27,Aliens
28,All-Girls School
29,Alternate World
30,Amnesia
31,Amusement Park
32,Anal
33,Ancient China
34,Ancient Times
35,Androgynous Characters
36,Androids
37,Angels
38,Animal Characteristics
39,Animal Rearing
40,Anti-Magic
41,Anti-social Protagonist
42,Antihero Protagonist
43,Antique Shop
44,Apartment Life
45,Apathetic Protagonist
46,Apocalypse
47,Appearance Changes
48,Appearance Different from Actual Age
49,Archery
50,Aristocracy
51,Arms Dealers
52,Army
53,Army Building
54,Arranged Marriage
55,Arrogant Characters
56,Artifact Crafting
57,Artifacts
58,Artificial Intelligence
59,Artists
60,Assassins
61,Astrologers
62,Autism
63,Automatons
64,Average-looking Protagonist
65,Award-winning Work
66,Awkward Protagonist
67,Bands
68,Based on a Movie
69,Based on a Song
70,Based on a TV Show
71,Based on a Video Game
72,Based on a Visual Novel
73,Based on an Anime
74,Battle Academy
75,Battle Competition
76,BDSM
77,Beast Companions
78,Beastkin
79,Beasts
80,Beautiful Female Lead
81,Bestiality
82,Betrayal
83,Bickering Couple
84,Biochip
85,Bisexual Protagonist
86,Black Belly
87,Blackmail
88,Blacksmith
89,Blind Dates
90,Blind Protagonist
91,Blood Manipulation
92,Bloodlines
93,Body Swap
94,Body Tempering
95,Body-double
96,Bodyguards
97,Books
98,Bookworm
99,Boss-Subordinate Relationship
100,Brainwashing
101,Breast Fetish
102,Broken Engagement
103,Brother Complex
104,Brotherhood
105,Buddhism
106,Bullying
107,Business Management
108,Businessmen
109,Butlers
110,Calm Protagonist
111,Cannibalism
112,Card Games
113,Carefree Protagonist
114,Caring Protagonist
115,Cautious Protagonist
116,Celebrities
117,Character Growth
118,Charismatic Protagonist
119,Charming Protagonist
120,Chat Rooms
121,Cheats
122,Chefs
123,Child Abuse
124,Child Protagonist
125,Childcare
126,Childhood Friends
127,Childhood Love
128,Childhood Promise
129,Childish Protagonist
130,Chuunibyou
131,Clan Building
132,Classic
133,Clever Protagonist
134,Clingy Lover
135,Clones
136,Clubs
137,Clumsy Love Interests
138,Co-Workers
139,Cohabitation
140,Cold Love Interests
141,Cold Protagonist
142,Collection of Short Stories
143,College/University
144,Coma
145,Comedic Undertone
146,Coming of Age
147,Complex Family Relationships
148,Conditional Power
149,Confident Protagonist
150,Confinement
151,Conflicting Loyalties
152,Contracts
153,Cooking
154,Corruption
155,Cosmic Wars
156,Cosplay
157,Couple Growth
158,Court Official
159,Cousins
160,Cowardly Protagonist
161,Crafting
162,Crime
163,Criminals
164,Cross-dressing
165,Crossover
166,Cruel Characters
167,Cryostasis
168,Cultivation
169,Cunnilingus
170,Cunning Protagonist
171,Curious Protagonist
172,Curses
173,Cute Children
174,Cute Protagonist
175,Cute Story
176,Dancers
177,Dao Companion
178,Dao Comprehension
179,Daoism
180,Dark
181,Dead Protagonist
182,Death
183,Death of Loved Ones
184,Debts
185,Delinquents
186,Delusions
187,Demi-Humans
188,Demon Lord
189,Demonic Cultivation Technique
190,Demons
191,Dense Protagonist
192,Depictions of Cruelty
193,Depression
194,Destiny
195,Detectives
196,Determined Protagonist
197,Devoted Love Interests
198,Different Social Status
199,Disabilities
200,Discrimination
201,Disfigurement
202,Dishonest Protagonist
203,Distrustful Protagonist
204,Divination
205,Divine Protection
206,Divorce
207,Doctors
208,Dolls/Puppets
209,Domestic Affairs
210,Doting Love Interests
211,Doting Older Siblings
212,Doting Parents
213,Dragon Riders
214,Dragon Slayers
215,Dragons
216,Dreams
217,Drugs
218,Druids
219,Dungeon Master
220,Dungeons
221,Dwarfs
222,Dystopia
223,e-Sports
224,Early Romance
225,Earth Invasion
226,Easy Going Life
227,Economics
228,Editors
229,Eidetic Memory
230,Elderly Protagonist
231,Elemental Magic
232,Elves
233,Emotionally Weak Protagonist
234,Empires
235,Enemies Become Allies
236,Enemies Become Lovers
237,Engagement
238,Engineer
239,Enlightenment
240,Episodic
241,Eunuch
242,European Ambience
243,Evil Gods
244,Evil Organizations
245,Evil Protagonist
246,Evil Religions
247,Evolution
248,Exhibitionism
249,Exorcism
250,Eye Powers
251,Fairies
252,Fallen Angels
253,Fallen Nobility
254,Familial Love
255,Familiars
256,Family
257,Family Business
258,Family Conflict
259,Famous Parents
260,Famous Protagonist
261,Fanaticism
262,Fanfiction
263,Fantasy Creatures
264,Fantasy World
265,Farming
266,Fast Cultivation
267,Fast Learner
268,Fat Protagonist
269,Fat to Fit
270,Fated Lovers
271,Fearless Protagonist
272,Fellatio
273,Female Master
274,Female Protagonist
275,Female to Male
276,Feng Shui
277,Firearms
278,First Love
279,First-time Intercourse
280,Flashbacks
281,Fleet Battles
282,Folklore
283,Forced into a Relationship
284,Forced Living Arrangements
285,Forced Marriage
286,Forgetful Protagonist
287,Former Hero
288,Fox Spirits
289,Friends Become Enemies
290,Friendship
291,Fujoshi
292,Futanari
293,Futuristic Setting
294,Galge
295,Gambling
296,Game Elements
297,Game Ranking System
298,Gamers
299,Gangs
300,Gate to Another World
301,Genderless Protagonist
302,Generals
303,Genetic Modifications
304,Genies
305,Genius Protagonist
306,Ghosts
